SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,1838.0,3.0,30.0,0.0,497.0,0.8,609.0,1.0,423.0,0.7,768.0,1.3,7076,11.7,16078,26.7,4335,7.2,633.0,1.0,1646.0,2.7,105.0,0.2,60241,99.9,94279,156.4
2,State,Arunachal Pradesh,43.0,5.7,2.0,0.3,11.0,1.5,30.0,4.0,10.0,1.3,27.0,3.6,146,19.4,251,33.3,9,1.2,21.0,2.8,10.0,1.3,1.0,0.1,794,105.3,1355,179.8
3,State,Assam,814.0,3.5,26.0,0.1,442.0,1.9,898.0,3.9,378.0,1.6,561.0,2.4,3982,17.3,8171,35.5,4385,19.1,476.0,2.1,554.0,2.4,5.0,0.0,16552,71.9,37244,161.8
4,State,Bihar,3582.0,4.5,320.0,0.4,849.0,1.1,1730.0,2.2,3159.0,3.9,2434.0,3.0,8867,11.1,20878,26.1,15473,19.3,1224.0,1.5,1552.0,1.9,33.0,0.0,47144,58.9,107245,134.1
5,State,Goa,30.0,2.6,1.0,0.1,12.0,1.0,18.0,1.5,11.0,1.0,52.0,4.4,663,56.6,1213,103.6,339,29.0,66.0,5.6,56.0,4.8,10.0,0.9,2080,177.7,4551,388.8
6,State,Gujarat,1144.0,3.0,11.0,0.0,159.0,0.4,544.0,1.4,198.0,0.5,852.0,2.2,5320,13.8,18208,47.1,2318,6.0,1434.0,3.7,903.0,2.3,104.0,0.3,53519,138.6,84714,219.4
7,State,Haryana,482.0,3.2,120.0,0.8,134.0,0.9,226.0,1.5,39.0,0.3,117.0,0.8,2570,16.8,3518,23.0,306,2.0,251.0,1.6,392.0,2.6,5.0,0.0,14758,96.5,22918,149.9
8,State,Himachal Pradesh,84.0,1.7,15.0,0.3,34.0,0.7,98.0,2.0,4.0,0.1,20.0,0.4,795,16.5,747,15.5,282,5.9,138.0,2.9,90.0,1.9,157.82051282051282,0.0,4172,86.7,6479,134.6
9,State,Jammu & Kashmir,102.0,1.5,12.0,0.2,171.0,2.5,517.0,7.5,18.0,0.3,27.0,0.4,1564,22.7,3279,47.5,1876,27.2,178.0,2.6,262.0,3.8,157.82051282051282,0.0,11152,161.7,19158,277.8
10,State,Karnataka,1112.0,2.6,35.0,0.1,167.0,0.4,438.0,1.0,170.0,0.4,565.0,1.3,7556,17.8,15456,36.4,7139,16.8,892.0,2.1,1585.0,3.7,307.0,0.7,44034,103.8,79456,187.3
11,State,Kerala,472.0,1.7,33.0,0.1,192.0,0.7,152.0,0.5,56.0,0.2,192.0,0.7,4196,14.7,3247,11.4,5209,18.3,419.0,1.5,1230.0,4.3,224.0,0.8,41184,144.6,56806,199.5
12,State,Madhya Pradesh,2750.0,4.6,63.0,0.1,1705.0,2.9,778.0,1.3,327.0,0.5,2605.0,4.4,18530,31.0,35906,60.0,4485,7.5,1145.0,1.9,1668.0,2.8,7.0,0.0,111134,185.8,181103,302.8
13,State,Maharashtra,2206.0,3.1,47.0,0.1,782.0,1.1,990.0,1.4,677.0,0.9,3477.0,4.9,16773,23.5,56604,79.4,4514,6.3,2823.0,4.0,1683.0,2.4,223.0,0.3,93797,131.5,184596,258.8
14,State,Manipur,68.0,4.1,7.0,0.4,11.0,0.7,118.0,7.1,26.0,1.6,49.0,2.9,127,7.6,422,25.4,116,7.0,44.0,2.6,100.0,6.0,16.0,1.0,737,44.4,1841,110.8
15,State,Meghalaya,95.0,6.0,4.0,0.3,19.0,1.2,22.0,1.4,31.0,2.0,37.0,2.3,159,10.0,436,27.5,414,26.1,13.0,0.8,35.0,2.2,157.82051282051282,0.0,1175,74.0,2440,153.6
16,State,Mizoram,45.0,7.1,1.0,0.2,62.0,9.8,2.0,0.3,1.0,0.2,28.0,4.4,133,21.1,347,55.1,1,0.2,40.0,6.4,43.0,6.8,9.0,1.4,445,70.7,1157,183.8
17,State,Nagaland,45.0,4.5,2.0,0.2,9.0,0.9,25.0,2.5,20.0,2.0,82.0,8.2,309,31.0,311,31.2,60,6.0,38.0,3.8,46.0,4.6,7.0,0.7,670,67.2,1624,163.0
18,State,Orissa,586.0,2.0,63.0,0.2,186.0,0.6,255.0,0.9,191.0,0.6,592.0,2.0,4666,15.8,9597,32.5,1611,5.5,439.0,1.5,341.0,1.2,8.0,0.0,24068,81.5,42603,144.2
19,State,Punjab,1388.0,7.3,137.0,0.7,47.0,0.2,182.0,1.0,151.0,0.8,592.0,3.1,1464,7.7,2304,12.2,160,0.8,248.0,1.3,277.0,1.5,9.0,0.0,8058,42.6,15017,79.4
20,State,Rajasthan,1139.0,2.8,43.0,0.1,604.0,1.5,1755.0,4.3,90.0,0.2,1051.0,2.6,6381,15.7,11351,28.0,12177,30.0,1004.0,2.5,2870.0,7.1,42.0,0.1,41344,101.9,79851,196.7
21,State,Sikkim,6.0,1.5,1.0,0.3,8.0,2.0,3.0,0.8,,0.0,4.0,1.0,39,9.8,80,20.1,4,1.0,21.0,5.3,24.0,6.0,157.82051282051282,0.0,164,41.2,354,88.9
22,State,Tamil Nadu,1531.0,2.9,22.0,0.0,267.0,0.5,630.0,1.2,82.0,0.2,433.0,0.8,7835,14.6,22216,41.4,8179,15.2,1001.0,1.9,1786.0,3.3,355.0,0.7,70133,130.7,114470,213.4
23,State,Tripura,144.0,6.0,4.0,0.2,43.0,1.8,54.0,2.3,49.0,2.0,86.0,3.6,661,27.6,861,36.0,561,23.4,22.0,0.9,24.0,1.0,157.82051282051282,0.0,2122,88.6,4631,193.4
24,State,Uttar Pradesh,6985.0,5.5,2026.0,1.6,1392.0,1.1,3441.0,2.7,3071.0,2.4,7240.0,5.7,21665,17.1,42331,33.5,9228,7.3,3817.0,3.0,3145.0,2.5,76.0,0.1,64374,50.9,168791,133.5
25,State,West Bengal,1453.0,2.4,494.0,0.8,632.0,1.0,888.0,1.4,817.0,1.3,805.0,1.3,1977,3.2,24949,40.4,7229,11.7,946.0,1.5,838.0,1.4,71.0,0.1,21848,35.4,62947,101.9
Total (States),State,Total (States),28144.0,3.6,3519.0,0.5,8435.0,1.1,14403.0,1.9,9999.0,1.3,22696.0,2.9,123454,16.0,298761,38.7,90410,11.7,17333.0,2.2,21160.0,2.7,1617.0,0.2,735699,95.4,1375630,178.3
26,UT,A & N Islands,7.0,2.8,1.0,0.4,6.0,2.4,11.0,4.3,,0.0,1.0,0.4,68,26.8,129,50.9,23,9.1,11.0,4.3,5.0,2.0,157.82051282051282,0.0,479,189.1,741,292.5
27,UT,Chandigarh,22.0,3.5,3.0,0.5,5.0,0.8,27.0,4.3,1.0,0.2,3.0,0.5,183,28.9,757,119.7,10,1.6,17.0,2.7,78.0,12.3,1.0,0.2,514,81.3,1621,256.4
28,UT,D & N Haveli,4.0,3.3,,0.0,2.0,1.6,3.0,2.5,2.0,1.6,8.0,6.6,106,86.9,78,63.9,23,18.9,3.0,2.5,1640.3617021276596,0.0,157.82051282051282,0.0,312,255.7,541,443.4
29,UT,Daman & Diu,7.0,7.6,,0.0,1.0,1.1,,0.0,2.0,2.2,2.0,2.2,4,4.3,17,18.4,16,17.4,3.0,3.3,3.0,3.3,157.82051282051282,0.0,61,66.2,116,125.8
30,UT,Delhi,311.0,3.9,198.0,2.5,103.0,1.3,799.0,9.9,32.0,0.4,197.0,2.5,1475,18.3,10191,126.8,173,2.2,466.0,5.8,840.0,10.4,29.0,0.4,11032,137.2,25846,321.5
31,UT,Lakshadweep,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,9,20.4,4,9.0,7,15.8,238.0,0.0,1.0,2.3,157.82051282051282,0.0,10,22.6,31,70.1
32,UT,Pondicherry,18.0,2.6,,0.0,7.0,1.0,8.0,1.1,,0.0,10.0,1.4,167,24.0,638,91.6,127,18.2,14.0,2.0,28.0,4.0,6.0,0.9,1443,207.1,2466,353.9
Total (UTs),UT,Total (UTs),369.0,3.7,202.0,2.0,124.0,1.3,848.0,8.6,37.0,0.4,221.0,2.2,2012,20.4,11814,119.6,379,3.8,514.0,5.2,955.0,9.7,36.0,0.4,13851,140.2,31362,317.4
Total (All India),Total (All India),Total (All India),28513.0,3.6,3721.0,0.5,8559.0,1.1,15251.0,2.0,10036.0,1.3,22917.0,2.9,125466,16.1,310575,39.7,90789,11.6,17847.0,2.3,22115.0,2.8,1653.0,0.2,749550,95.9,1406992,180.1
1,City,Ahmedabad,81.0,3.4,1.0,0.0,13.0,0.6,109.0,4.6,8.0,0.3,75.0,3.2,772,32.8,3404,144.5,267,11.3,122.0,5.2,188.0,8.0,26.0,1.1,5971,253.5,11037,468.6
2,City,Bangalore,108.0,3.3,3.0,0.1,46.0,1.4,88.0,2.7,13.0,0.4,246.0,7.5,1744,53.0,7144,217.1,194,5.9,219.0,6.7,790.0,24.0,173.0,5.3,11049,335.8,21817,663.1
3,City,Bombay,285.0,2.9,2.0,0.0,85.0,0.9,231.0,2.3,65.0,0.7,762.0,7.6,2361,23.7,15359,153.9,196,2.0,933.0,9.4,1166.0,11.7,63.0,0.6,14510,145.4,36018,361.0
4,City,Calcutta,69.0,2.1,10.0,0.3,19.0,0.6,122.0,3.6,30.0,0.9,188.0,5.6,455,13.5,6763,201.1,549,16.3,314.0,9.3,390.0,11.6,35.0,1.0,4275,127.1,13219,393.1
5,City,Delhi,259.0,3.4,159.0,2.1,88.0,1.2,734.0,9.7,22.0,0.3,172.0,2.3,1357,17.9,9709,128.0,147,1.9,422.0,5.6,794.0,10.5,28.0,0.4,9946,131.2,23837,314.4
6,City,Hyderabad,71.0,2.9,,0.0,23.0,0.9,75.0,3.1,9.0,0.4,99.0,4.1,1265,52.1,3109,128.2,226,9.3,82.0,3.4,325.0,13.4,43.0,1.8,2171,89.5,7498,309.1
7,City,Jaipur,36.0,2.8,1.0,0.1,11.0,0.8,106.0,8.2,2.0,0.2,45.0,3.5,378,29.1,1271,97.8,762,58.6,134.0,10.3,258.0,19.8,15.0,1.2,2648,203.7,5667,435.9
8,City,Kanpur,492.0,28.6,36.0,2.1,26.0,1.5,148.0,8.6,81.0,4.7,172.0,10.0,568,33.0,1914,111.1,228,13.2,238.0,13.8,256.0,14.9,2.0,0.1,3070,178.3,7231,419.9
9,City,Lucknow,68.0,6.8,20.0,2.0,19.0,1.9,82.0,8.2,27.0,2.7,87.0,8.7,504,50.6,1796,180.5,155,15.6,205.0,20.6,233.0,23.4,14.0,1.4,208,20.9,3418,343.5
10,City,Madras,61.0,1.6,3.0,0.1,23.0,0.6,40.0,1.0,2.0,0.1,41.0,1.0,302,7.7,3838,98.1,200,5.1,209.0,5.3,664.0,17.0,167.0,4.3,8277,211.5,13827,353.3
11,City,Nagpur,102.0,6.8,,0.0,45.0,3.0,75.0,5.0,15.0,1.0,255.0,17.1,724,48.4,2121,141.9,162,10.8,92.0,6.2,119.0,8.0,20.0,1.3,5053,338.1,8783,587.6
12,City,Pune,70.0,4.8,,0.0,34.0,2.3,45.0,3.1,6.0,0.4,137.0,9.3,736,50.0,2531,171.8,168,11.4,105.0,7.1,193.0,13.1,12.0,0.8,5126,347.9,9163,621.9
Total (Cities),City,Total (Cities),1702.0,4.3,235.0,0.6,432.0,1.1,1855.0,4.6,280.0,0.7,2279.0,5.7,11166,27.9,58959,147.8,3254,8.2,3075.0,7.7,5376.0,13.5,598.0,1.5,72304,181.2,161515,404.9
